Duration,log_votes,movie_age,Year,genre_drama,genre_action,genre_romance,genre_comedy,genre_crime,genre_thriller,genre_family,genre_musical,genre_mystery,genre_adventure,director_encoded,director_movie_count,actor_1_encoded,actor_1_movie_count,actor_2_encoded,actor_2_movie_count,actor_3_encoded,actor_3_movie_count,Rating
127,2.8903717578961645,13,2013,1,0,0,0,0,0,0,0,0,0,6.037533310993027,1,6.037533310993027,1,6.037533310993027,1,6.037533310993027,1,7.3
140,4.394449154672439,13,2013,0,0,1,0,0,0,0,0,0,0,6.008682032378715,3,5.9193514928112085,1,5.9193514928112085,1,5.9193514928112085,1,6.0
89,2.772588722239781,6,2020,0,0,0,0,0,0,0,0,0,0,5.992078765538481,1,5.992078765538481,1,5.992078765538481,1,6.927791280160949,120,6.8
112,4.962844630259907,10,2016,0,0,0,0,0,1,0,0,0,0,5.416374340071022,3,5.655715129174845,1,5.655715129174845,1,5.822347601494521,4,3.1
143,6.4425401664681985,21,2005,1,0,1,0,0,0,0,0,0,0,5.063835074785437,9,5.189745229318689,18,5.081565067663014,11,5.558869434205136,14,3.8
90,5.823045895483019,9,2017,0,0,0,0,0,0,0,0,0,0,6.00116967462939,1,6.00116967462939,1,6.00116967462939,1,6.927791280160949,120,6.9
104,3.2188758248682006,7,2019,1,0,0,0,0,0,0,0,0,0,6.142738868410274,2,6.0920787655384805,1,5.808682032378714,3,6.142738868410274,2,7.9
104,11.22682880175946,18,2008,1,1,0,0,1,0,0,0,0,0,6.4275244280615516,5,5.888514656836931,15,6.387511820029784,21,6.177227436524899,7,8.1
177,7.3914152346753585,27,1999,1,0,1,0,0,0,0,1,0,0,5.873896947356664,1,6.491721282179798,73,5.9695541513077055,6,6.039603690051294,8,5.5
121,5.521460917862246,8,2018,1,0,0,0,0,0,0,0,0,0,6.10116967462939,1,6.10116967462939,1,6.10116967462939,1,5.870220493917175,3,8.0
117,6.7650389767805414,17,2009,0,1,0,0,0,1,0,0,0,0,5.828442401902118,1,5.534191094728219,5,5.081565067663014,11,5.828442401902118,1,5.0
148,5.855071922202427,53,1973,1,1,1,0,0,0,0,0,0,0,6.310788497273217,19,6.249591938691465,81,6.724115867164841,32,6.084549116340087,28,7.2
158,4.7535901911063645,32,1994,0,0,1,0,0,0,0,0,1,0,5.5760722017436075,2,5.767738868410274,2,5.379754014514597,19,5.570321660523082,30,4.4
123,5.8289456176102075,9,2017,0,1,0,0,0,0,0,0,0,0,5.619351492811209,1,4.990967175706513,55,5.619351492811209,1,5.619351492811209,1,2.7
120,2.833213344056216,10,2016,1,0,0,0,0,0,0,0,0,0,5.992078765538481,1,5.992078765538481,1,5.992078765538481,1,5.992078765538481,1,6.8
144,5.579729825986222,22,2004,0,0,0,0,0,0,0,0,0,0,5.5920787655384805,1,5.5920787655384805,1,5.500989724686407,3,5.5320541513077055,6,2.4
170,3.091042453358316,58,1968,1,0,0,1,1,0,0,0,0,0,5.976072201743608,2,6.47834521208835,91,5.916374340071022,3,6.400643321046165,10,5.5
72,5.017279836814924,8,2018,0,0,0,0,0,0,0,0,0,0,5.9548358785325615,3,6.0466242200839355,1,5.9548358785325615,3,6.0466242200839355,1,7.4
105,3.367295829986474,44,1982,1,1,0,0,1,0,0,0,0,0,5.682054151307705,6,5.3923579264167305,93,5.677912801609484,3,6.047815671819016,7,5.5
132,2.9444389791664403,49,1977,0,1,0,0,0,0,0,0,0,0,5.8375333109930265,1,5.916374340071022,3,5.858479561965267,21,6.277857564587422,12,5.1
107,4.248495242049359,7,2019,1,0,0,0,0,0,0,0,0,0,6.064806038265754,1,6.226072201743608,2,5.907524428061553,5,6.200612686710633,11,7.6
154,2.995732273553991,44,1982,1,0,0,0,0,0,0,0,0,0,5.955715129174845,1,5.95940553507694,2,6.009405535076941,2,5.829490458637379,4,6.4
157,6.343880434126331,13,2013,0,1,0,0,1,1,0,0,0,0,5.864806038265754,1,5.864806038265754,1,6.02406664776333,3,5.864806038265754,1,5.4
